Lat,Lon,Title,Partner,Partner ohne Markdown,Website,Straße,PLZ,Ort,Land,Partner aus…,Beteiligt in…,Funktion als…,Webadresse,Column 1
48.9397149,8.40427,,[Karlsruher Institut für Technologie (KIT)](https://www.kit.edu/),Karlsruher Institut für Technologie (KIT),https://www.kit.edu/,Adenauerring 20 b,76131,Karlsruhe,Baden-Württemberg,Wissenschaft,"FertiRob, HTEL-Stacks, ReNaRe, StacIE",Partner,www.kit.edu,
50.5544687,6.2407954,,[KCS Europe GmbH](https://www.kcs-europe.com/),KCS Europe GmbH,https://www.kcs-europe.com/,Am Handwerkerzentrum 6,52156,Monschau,Nordrhein-Westfalen,Wirtschaft,"AlFaKat, StacIE",Partner,www.kcs-europe.com,
48.0001038,11.3508972,,[keep it green gmbh](https://www.keep-it-green.de/),keep it green gmbh,https://www.keep-it-green.de/,Münchner Str. 19 a,82319,Starnberg,Bayern,Wirtschaft,TP Elektrolyse,Partner,www.keep-it-green.de,
49.7531092,11.8294634,,[KERAFOL Keramische Folien GmbH & Co. KG](https://www.kerafol.com/),KERAFOL Keramische Folien GmbH & Co. KG,https://www.kerafol.com/,Koppe-Platz 1,92676,Eschenbach i.d.OPf.,Bayern,Wirtschaft,HTEL-Stacks,Partner,www.kerafol.com,
50.8502095,13.7766767,,[Kontron AIS GmbH](https://www.ais-automation.com/),Kontron AIS GmbH,https://www.ais-automation.com/,Otto-Mohr-Str. 6,01279,Dresden,Sachsen,Wirtschaft,HTEL-Module,Partner,www.ais-automation.com,
52.3744779,9.7385532,,[Leibniz Universität Hannover](https://www.uni-hannover.de/),Leibniz Universität Hannover,https://www.uni-hannover.de/,Appelstr. 9 a,30167,Hannover,Niedersachsen,Wissenschaft,"HyThroughGen, SEGIWA, DERIEL",Partner,www.uni-hannover.de,
54.0924445,12.1286127,,[Leibniz-Institut für Katalyse e.V.](https://www.catalysis.de/),Leibniz-Institut für Katalyse e.V.,https://www.catalysis.de/,Albert-Einstein-Str. 29 a,18059,Rostock,Mecklenburg-Vorpommern,Wissenschaft,"IREKA, SEGIWA",Koordinator,www.catalysis.de,
49.088332,8.4003114,,[let's dev GmbH & Co. KG](https://www.letsdev.de/),let's dev GmbH & Co. KG,https://www.letsdev.de/,Alter Schlachthof 33,76131,Karlsruhe,Baden-Württemberg,Wirtschaft,FertiRob,Partner,www.letsdev.de,
48.0556122,11.5217455,,[Linde Aktiengesellschaft - Engineering](https://www.linde.com/),Linde Aktiengesellschaft - Engineering,https://www.linde.com/,Dr.-Carl-von-Linde-Str. 6-14,82049,Pullach i. Isartal,Bayern,Wirtschaft,"IntegrH2ate, SINEWAVE",Koordinator,www.linde.com,
49.9207462,9.0755904,,[Main-Automation GmbH](https://www.main-automation.de/),Main-Automation GmbH,https://www.main-automation.de/,Nordring 12,63762,Großostheim,Bayern,Wirtschaft,SEGIWA,Partner,www.main-automation.de,
48.3668041,10.8986971,,[MAN Energy Solutions SE](https://www.man-es.com/),MAN Energy Solutions SE,https://www.man-es.com/,Stadtbachstr. 1,86153,Augsburg,Bayern,Wirtschaft,PEP.IN,Koordinator,www.man-es.com,
51.3783643,6.9228639,,[Max-Planck-Institut für Chemische Energiekonversion](https://www.mpg.de/),Max-Planck-Institut für Chemische Energiekonversion,https://www.mpg.de/,Stiftstr. 34-36,45470,Mülheim an der Ruhr,Nordrhein-Westfalen,Wissenschaft,"DERIEL, PrometH2eus",Partner,www.mpg.de,
51.2501274,13.7625142,,[Max-Planck-Institut für chemische Physik fester Stoffe](https://www.mpg.de/),Max-Planck-Institut für chemische Physik fester Stoffe,https://www.mpg.de/,Nöthnitzer Str. 40,01187,Dresden,Sachsen,Wissenschaft,PrometH2eus,Partner,www.mpg.de,
51.2254018,6.7763137,,[Max-Planck-Institut für Eisenforschung GmbH](https://www.mpie.de/),Max-Planck-Institut für Eisenforschung GmbH,https://www.mpie.de/,Max-Planck-Str. 1,40237,Düsseldorf,Nordrhein-Westfalen,Wissenschaft,PrometH2eus,Partner,www.mpie.de,
51.32658,6.9710401,,[Max-Planck-Institut für Kohlenforschung](https://www.kofo.mpg.de/),Max-Planck-Institut für Kohlenforschung,https://www.kofo.mpg.de/,Kaiser-Wilhelm-Platz 1,45470,Mülheim an der Ruhr,Nordrhein-Westfalen,Wissenschaft,PrometH2eus,Partner,www.kofo.mpg.de,
54.36157,10.2862344,,[meteolytix GmbH](https://www.meteolytix.de/),meteolytix GmbH,https://www.meteolytix.de/,Schauenburgerstr. 116,24118,Kiel,Schleswig-Holstein,Wirtschaft,SYSTOGEN100,Partner,www.meteolytix.de,
50.791896829224655,13.016466069564247,,[imk Industrial Intelligence GmbH](https://www.imk-automotive.de),imk Industrial Intelligence GmbH,https://www.imk-automotive.de,Amselgrund 30,09128,Chemnitz,Sachsen,Wirtschaft,"HTEL-Module, AEL4GW",Partner,www.imk-automotive.de,
53.1389753,8.2146017,,[OFFIS e. V.](https://www.offis.de/),OFFIS e. V.,https://www.offis.de/,Escherweg 2,26121,Oldenburg,Niedersachsen,Wissenschaft,"DERIEL, SEGIWA",Partner,www.offis.de,
49.0195333,12.0974869,,[Ostbayerische Technische Hochschule Regensburg - Fakultät Maschinenbau](https://www.oth-regensburg.de/),Ostbayerische Technische Hochschule Regensburg - Fakultät Maschinenbau,https://www.oth-regensburg.de/,Galgenbergstr. 30,93053,Regensburg,Bayern,Wissenschaft,StaR,Partner,www.oth-regensburg.de,
50.7148979,6.1676665,,[Rheinisch-Westfälische Technische Hochschule Aachen](https://www.rwth-aachen.de/),Rheinisch-Westfälische Technische Hochschule Aachen,https://www.rwth-aachen.de/,Forckenbeckstr. 51,52074,Aachen,Nordrhein-Westfalen,Wissenschaft,"AlFaKat, DERIEL, SEGIWA, StaR, INSTALL-AWE, StacIE, PrometH2eus, ReNaRe",Partner,www.rwth-aachen.de,
51.445525,7.5674652,,[RIF Institut für Forschung und Transfer e. V.](https://www.rif-ev.de/),RIF Institut für Forschung und Transfer e. V.,https://www.rif-ev.de/,Joseph-von-Fraunhofer-Str. 20,44227,Dortmund,Nordrhein-Westfalen,Wissenschaft,FertiRob,Partner,www.rif-ev.de,
48.7983947,9.0624386,,[Robert Bosch GmbH BMC/INS](https://www.bosch.com/),Robert Bosch GmbH BMC/INS,https://www.bosch.com/,Robert-Bosch-Platz 1,70839,Gerlingen,Baden-Württemberg,Wirtschaft,FertiRob,Partner,www.bosch.com,
51.4818111,7.2196635,,[Ruhr-Universität Bochum](https://www.ruhr-uni-bochum.de/),Ruhr-Universität Bochum,https://www.ruhr-uni-bochum.de/,Universitätsstr. 150,44801,Bochum,Nordrhein-Westfalen,Wissenschaft,"FertiRob, DERIEL, HyPLANT100",Koordinator und Partner,www.ruhr-uni-bochum.de,
49.5710376,10.8815262,,[Schaeffler Technologies AG & Co. KG](https://www.schaeffler.com/),Schaeffler Technologies AG & Co. KG,https://www.schaeffler.com/,Industriestr. 1-3,91074,Herzogenaurach,Bayern,Wirtschaft,StacIE,Partner,www.schaeffler.com,
49.6277003,11.0143385,,[Siemens Energy Global GmbH & Co. KG - Abt. SE NEB TP](https://www.siemens-energy.com/),Siemens Energy Global GmbH & Co. KG - Abt. SE NEB TP,https://www.siemens-energy.com/,Freyeslebenstr. 1,91058,Erlangen,Bayern,Wirtschaft,"SEGIWA, DERIEL",Koordinator,www.siemens-energy.com,
51.3138991,9.5575189,,[SMA Solar Technology AG](https://www.sma.de/),SMA Solar Technology AG,https://www.sma.de/,Sonnenallee 1,34266,Niestetal,Hessen,Wirtschaft,HyLeiT,Partner,www.sma.de,
51.016265,13.6530329,,[SunFire GmbH](https://www.sunfire.de/),SunFire GmbH,https://www.sunfire.de/,Gasanstaltstr. 2,01237,Dresden,Sachsen,Wirtschaft,"AEL4GW, HTEL-Module, HTEL-Stacks",Koordinator,www.sunfire.de,
